"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2006"	"2006"	21	149116	14.1	15.2
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2007"	"2007"	28	152939	18.3	19.1
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2008"	"2008"	27	155913	17.3	17.7
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2009"	"2009"	30	158931	18.9	19.8
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2010"	"2010"	26	161405	16.1	17.0
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2011"	"2011"	24	164821	14.6	15.2
	"Baldwin County, AL"	"01003"	"White"	"2106-3"	"2012"	"2012"	32	168512	19.0	17.9
	"Blount County, AL"	"01009"	"White"	"2106-3"	"2008"	"2008"	17	55581	Unreliable	Unreliable
	"Blount County, AL"	"01009"	"White"	"2106-3"	"2009"	"2009"	11	55837	Unreliable	Unreliable
	"Blount County, AL"	"01009"	"White"	"2106-3"	"2010"	"2010"	10	55843	Unreliable	Unreliable
	"Blount County, AL"	"01009"	"White"	"2106-3"	"2012"	"2012"	18	56080	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"2007"	"2007"	11	90579	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"2008"	"2008"	21	91042	23.1	24.3
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"2009"	"2009"	16	91614	Unreliable	Unreliable
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"2010"	"2010"	20	91710	21.8	24.2
	"Calhoun County, AL"	"01015"	"White"	"2106-3"	"2011"	"2011"	13	90863	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	"White"	"2106-3"	"2006"	"2006"	13	37568	Unreliable	Unreliable
	"Chilton County, AL"	"01021"	"White"	"2106-3"	"2010"	"2010"	11	38727	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"White"	"2106-3"	"2008"	"2008"	11	78407	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"White"	"2106-3"	"2011"	"2011"	13	78297	Unreliable	Unreliable
	"Cullman County, AL"	"01043"	"White"	"2106-3"	"2012"	"2012"	13	78255	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	"2007"	"2007"	12	65976	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	"2008"	"2008"	12	66491	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	"2009"	"2009"	14	66894	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	"2011"	"2011"	11	66989	Unreliable	Unreliable
	"DeKalb County, AL"	"01049"	"White"	"2106-3"	"2012"	"2012"	16	66809	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	"White"	"2106-3"	"2009"	"2009"	15	24414	Unreliable	Unreliable
	"Escambia County, AL"	"01053"	"White"	"2106-3"	"2011"	"2011"	15	24153	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"2007"	"2007"	12	86454	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"2008"	"2008"	20	86663	23.1	26.0
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"2009"	"2009"	16	86555	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"2010"	"2010"	12	86415	Unreliable	Unreliable
	"Etowah County, AL"	"01055"	"White"	"2106-3"	"2011"	"2011"	15	85952	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2007"	"2007"	10	70927	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2008"	"2008"	13	71648	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2009"	"2009"	11	72371	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2010"	"2010"	12	73091	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2011"	"2011"	13	73428	Unreliable	Unreliable
	"Houston County, AL"	"01069"	"White"	"2106-3"	"2012"	"2012"	10	73820	Unreliable	Unreliable
