"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Allegany County, MD"	"24001"	"2001"	"2001"	10	74525	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2003"	"2003"	16	74076	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2004"	"2004"	11	74408	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2006"	"2006"	13	73980	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2007"	"2007"	11	74449	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2008"	"2008"	11	74638	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2010"	"2010"	12	75087	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2011"	"2011"	16	74692	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2012"	"2012"	13	74012	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2013"	"2013"	16	73521	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2014"	"2014"	12	72952	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2015"	"2015"	16	72528	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"2016"	"2016"	47	72130	65.2	70.5
	"Allegany County, MD"	"24001"	"2017"	"2017"	39	71615	54.5	61.9
	"Anne Arundel County, MD"	"24003"	"1999"	"1999"	41	484800	8.5	7.9
	"Anne Arundel County, MD"	"24003"	"2000"	"2000"	55	489656	11.2	10.7
	"Anne Arundel County, MD"	"24003"	"2001"	"2001"	50	498559	10.0	9.7
	"Anne Arundel County, MD"	"24003"	"2002"	"2002"	62	504884	12.3	11.7
	"Anne Arundel County, MD"	"24003"	"2003"	"2003"	51	507769	10.0	9.9
	"Anne Arundel County, MD"	"24003"	"2004"	"2004"	70	513259	13.6	13.3
	"Anne Arundel County, MD"	"24003"	"2005"	"2005"	72	516171	13.9	13.6
	"Anne Arundel County, MD"	"24003"	"2006"	"2006"	73	517698	14.1	13.8
	"Anne Arundel County, MD"	"24003"	"2007"	"2007"	81	520503	15.6	15.0
	"Anne Arundel County, MD"	"24003"	"2008"	"2008"	80	525304	15.2	14.2
	"Anne Arundel County, MD"	"24003"	"2009"	"2009"	81	532395	15.2	14.9
	"Anne Arundel County, MD"	"24003"	"2010"	"2010"	67	537656	12.5	12.4
	"Anne Arundel County, MD"	"24003"	"2011"	"2011"	91	544403	16.7	16.1
	"Anne Arundel County, MD"	"24003"	"2012"	"2012"	82	550488	14.9	14.6
	"Anne Arundel County, MD"	"24003"	"2013"	"2013"	98	555743	17.6	17.2
	"Anne Arundel County, MD"	"24003"	"2014"	"2014"	123	560133	22.0	21.6
	"Anne Arundel County, MD"	"24003"	"2015"	"2015"	134	564195	23.8	23.1
	"Anne Arundel County, MD"	"24003"	"2016"	"2016"	222	568346	39.1	38.7
	"Anne Arundel County, MD"	"24003"	"2017"	"2017"	259	573235	45.2	45.3
	"Baltimore County, MD"	"24005"	"1999"	"1999"	105	749425	14.0	13.9
	"Baltimore County, MD"	"24005"	"2000"	"2000"	104	754292	13.8	13.6
	"Baltimore County, MD"	"24005"	"2001"	"2001"	131	762925	17.2	17.0
	"Baltimore County, MD"	"24005"	"2002"	"2002"	150	770147	19.5	19.6
	"Baltimore County, MD"	"24005"	"2003"	"2003"	164	777756	21.1	21.1
	"Baltimore County, MD"	"24005"	"2004"	"2004"	107	784371	13.6	13.8
	"Baltimore County, MD"	"24005"	"2005"	"2005"	120	789110	15.2	15.1
	"Baltimore County, MD"	"24005"	"2006"	"2006"	143	793733	18.0	17.8
	"Baltimore County, MD"	"24005"	"2007"	"2007"	132	796073	16.6	16.7
	"Baltimore County, MD"	"24005"	"2008"	"2008"	139	798651	17.4	17.2
	"Baltimore County, MD"	"24005"	"2009"	"2009"	132	801808	16.5	16.5
	"Baltimore County, MD"	"24005"	"2010"	"2010"	131	805029	16.3	16.4
	"Baltimore County, MD"	"24005"	"2011"	"2011"	122	809941	15.1	14.9
	"Baltimore County, MD"	"24005"	"2012"	"2012"	161	817455	19.7	19.7
	"Baltimore County, MD"	"24005"	"2013"	"2013"	155	823015	18.8	19.0
	"Baltimore County, MD"	"24005"	"2014"	"2014"	192	826925	23.2	23.3
	"Baltimore County, MD"	"24005"	"2015"	"2015"	248	831128	29.8	30.8
	"Baltimore County, MD"	"24005"	"2016"	"2016"	390	831026	46.9	48.2
	"Baltimore County, MD"	"24005"	"2017"	"2017"	430	832468	51.7	52.2
	"Calvert County, MD"	"24009"	"2001"	"2001"	10	77218	Unreliable	Unreliable
	"Calvert County, MD"	"24009"	"2006"	"2006"	11	87043	Unreliable	Unreliable
