"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2003"	"2003"	16	68805	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2004"	"2004"	11	68814	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2006"	"2006"	12	68055	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2007"	"2007"	11	68220	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2008"	"2008"	10	68058	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2010"	"2010"	11	67900	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2011"	"2011"	15	67248	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2012"	"2012"	13	66653	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2013"	"2013"	16	66222	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2014"	"2014"	12	65543	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2015"	"2015"	15	65137	Unreliable	Unreliable
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2016"	"2016"	43	64739	66.4	76.7
	"Allegany County, MD"	"24001"	"White"	"2106-3"	"2017"	"2017"	38	64210	59.2	71.6
	"Anne Arundel County, MD"	"24003"	"Black or African American"	"2054-5"	"2006"	"2006"	10	79815	Unreliable	Unreliable
	"Anne Arundel County, MD"	"24003"	"Black or African American"	"2054-5"	"2015"	"2015"	21	100505	20.9	19.8
	"Anne Arundel County, MD"	"24003"	"Black or African American"	"2054-5"	"2016"	"2016"	22	102615	21.4	21.3
	"Anne Arundel County, MD"	"24003"	"Black or African American"	"2054-5"	"2017"	"2017"	25	105095	23.8	24.2
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	"1999"	"1999"	37	402958	9.2	8.6
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	"2000"	"2000"	51	406153	12.6	12.0
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	"2001"	"2001"	44	411683	10.7	10.2
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	"2002"	"2002"	59	415393	14.2	13.6
	"Anne Arundel County, MD"	"24003"	"White"	"2106-3"	"2003"	"2003"	46	416598	11.0	11.0
